tile_id,row,column,palette_index,palette_id,palette_name,sku,piece_type,piece_fraction,bounding_width_in,bounding_height_in,clipped_edges,vertices_in
placement-000820,19,29,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,30.140625000 16.171875000;29.140625000 16.171875000;29.140625000 16.078630289;29.640625000 15.789955154;30.140625000 16.078630289
placement-000821,19,30,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,31.203125000 16.171875000;30.203125000 16.171875000;30.203125000 16.078630289;30.703125000 15.789955154;31.203125000 16.078630289
placement-000822,19,31,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,32.265625000 16.171875000;31.265625000 16.171875000;31.265625000 16.078630289;31.765625000 15.789955154;32.265625000 16.078630289
placement-000823,19,32,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,33.328125000 16.171875000;32.328125000 16.171875000;32.328125000 16.078630289;32.828125000 15.789955154;33.328125000 16.078630289
placement-000824,19,33,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,34.390625000 16.171875000;33.390625000 16.171875000;33.390625000 16.078630289;33.890625000 15.789955154;34.390625000 16.078630289
placement-000825,19,34,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,35.453125000 16.171875000;34.453125000 16.171875000;34.453125000 16.078630289;34.953125000 15.789955154;35.453125000 16.078630289
placement-000826,19,35,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,36.515625000 16.171875000;35.515625000 16.171875000;35.515625000 16.078630289;36.015625000 15.789955154;36.515625000 16.078630289
placement-000827,19,36,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,37.578125000 16.171875000;36.578125000 16.171875000;36.578125000 16.078630289;37.078125000 15.789955154;37.578125000 16.078630289
placement-000828,19,37,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,38.640625000 16.171875000;37.640625000 16.171875000;37.640625000 16.078630289;38.140625000 15.789955154;38.640625000 16.078630289
placement-000829,19,38,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,39.703125000 16.171875000;38.703125000 16.171875000;38.703125000 16.078630289;39.203125000 15.789955154;39.703125000 16.078630289
placement-000830,19,39,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,40.765625000 16.171875000;39.765625000 16.171875000;39.765625000 16.078630289;40.265625000 15.789955154;40.765625000 16.078630289
placement-000831,19,40,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,41.828125000 16.171875000;40.828125000 16.171875000;40.828125000 16.078630289;41.328125000 15.789955154;41.828125000 16.078630289
placement-000832,19,41,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,42.890625000 16.171875000;41.890625000 16.171875000;41.890625000 16.078630289;42.390625000 15.789955154;42.890625000 16.078630289
placement-000833,19,42,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,43.953125000 16.171875000;42.953125000 16.171875000;42.953125000 16.078630289;43.453125000 15.789955154;43.953125000 16.078630289
placement-000834,19,43,1,P02,White,,edge_cut,0.274336385,1.000000000,0.381919846,bottom,45.015625000 16.171875000;44.015625000 16.171875000;44.015625000 16.078630289;44.515625000 15.789955154;45.015625000 16.078630289
placement-000835,19,44,1,P02,White,,edge_cut,0.263890183,0.921875000,0.381919846,right;bottom,46.000000000 16.171875000;45.078125000 16.171875000;45.078125000 16.078630289;45.578125000 15.789955154;46.000000000 16.033524799
